Data Colação,Trabalhando?,O que está fazendo?,Área de Atuação,Área de atuação em TI,Mudou de trabalho por causa do curso?,Contato feito?,Empresa,Mudou de região?,Finalizado,Já trabalhava com TI no curso?
21/12/2022,Sim,,TI,Dev,Sim,,FATECOINS,,Sim,
21/12/2022,Sim,,TI,Suporte,Sim,,RCCBRASIL,,Sim,
21/12/2022,,,,,,,,,,
21/12/2022,,,,,,,,,,
21/12/2022,,,,,,,,,,
21/12/2022,,,,,,,,,,
21/12/2022,,,,,,,,,,
1/7/2023,,,,,,,,,,
1/7/2023,Sim,,TI,Gestão de projetos,Sim,,FATECOINS,,Sim,
1/7/2023,Sim,,TI,Dev,Sim,,FATECOINS,,Sim,
1/7/2023,,,,,,,,,,
1/7/2023,,,,,,,,,,
1/7/2023,,,,,,,,,,
1/7/2023,,,,,,,,,,
1/7/2023,,,,,,,,,,
1/7/2023,,,,,,,,,,
1/7/2023,Sim,,TI,Dev,Sim,,FATECOINS,,Sim,
1/7/2023,Sim,,Vendas,,Não,,Vivo,,,
1/7/2023,Sim,,TI,Sistemas,Sim,,Embras,,,
1/7/2023,,,,,,,,,,
1/7/2023,Sim,,TI,Suporte,Sim,,,,Sim,
1/7/2023,Sim,,TI,Dev,Sim,,,,Sim,
1/7/2023,Sim,,Administração,,Não,,Prefeitura de Lorena,,Sim,
20/12/2023,Sim,,TI,Dados,Sim,,Radix Engenharia de Software,,Sim,
20/12/2023,Sim,,Administração,,Não,,Própria,,Sim,
20/12/2023,Sim,,TI,Gestão de projetos,Sim,,FATECOINS,,Sim,
20/12/2023,Sim,,TI,Dev,Sim,,HCP Eletrônicos,,Sim,
20/12/2023,Sim,,Administração,,,,,,,
20/12/2023,,,,,,,,,,
20/12/2023,Sim,,TI,Infraestrutura,Sim,,Valfilm,,Sim,
20/12/2023,Não,Procurando,,,,,,,Sim,
20/12/2023,Sim,,TI,Gestão de projetos,Sim,,BASF,,Sim,
20/12/2023,Sim,,TI,Sistemas,Sim,,K2Software,,Sim,
20/12/2023,,,,,,,,,,
20/12/2023,Sim,,Administração,,Não,,Empresa própria,,Sim,
20/12/2023,Não,Estudando Dev,,,,,,,Sim,
20/12/2023,Sim,,TI,Infraestrutura,Não,,Santuário Nacional,,Sim,
